Feature,Importance
Total_Input_BF,0.2026773051991385
Input_Length,0.19484061393551982
Input_Width,0.16236940644007503
Input_Plant_Encoded,0.13282730416610014
Input_Material_Encoded,0.11545200856485108
Input_Specie_Encoded,0.09195428246864848
Input_Grade_Encoded,0.0725005261847771
Input_Thickness,0.02737855304088984
